node_label,is_feature_based,graph_type,parameter,remove_columns,laplacian_type,number_of_eigenvectors,target_column,use_kmean_for_silhouette,silhouette_score,rand_index,total_time,affinity_time,laplacian_time,clustering_time,adjusted_rand_index_time,memory_used,cpu_used,sklearn_silhouette_score,sklearn_rand_index,sklearn_total_time,sklearn_affinity_time,sklearn_laplacian_time,sklearn_clustering_time,sklearn_adjusted_rand_index_time,sklearn_memory_used,sklearn_cpu_used
IrisNode,True,full,11,"Index,target",sym,3,target,False,0.5055000468668748,0.6049917558436521,6595.229461,1038.665465,1050.501245,4207.702431,240.025475,0.0,0.015625,0.5055000454024903,0.7302382722834697,0.22036266326904297,0.001665353775024414,0.0001316070556640625,0.2120053768157959,0,2.07421875,0.03125
IrisNode,True,full,11,"Index,target",rw,3,target,False,0.4797334464081528,0.8647830351074957,4648.843834,613.391798,488.73371,3272.311924,232.702836,0.0078125,0.53125,0.5066439006430709,0.7445264308738749,0.029514074325561523,0.0005030632019042969,0.0006420612335205078,0.02608633041381836,0,2.5859375,0.03125
IrisNode,True,full,11,"Index,target",ad,3,target,False,0.46741633379813674,0.902984110931228,3812.320204,508.159166,375.928949,2658.740702,229.443835,0.00390625,0.4375,0.4852986277532102,0.5637510205230709,0.0075931549072265625,0.0005087852478027344,2.956390380859375e-05,0.005319356918334961,0,0.0078125,0.046875
IrisNode,True,eps,1.111,"Index,target",sym,3,target,False,0.08979073440622297,0.43656574372509704,2711.402699,231.670922,286.927741,1929.551891,232.671957,0.00390625,0.671875,0.24884443933066724,0.48823938977855746,0.007898330688476562,0.0004413127899169922,9.870529174804688e-05,0.0038809776306152344,0,0.0,0.0
IrisNode,True,eps,1.111,"Index,target",rw,3,target,False,0.21218090091931197,0.6765185173389388,3007.070547,404.593204,304.313699,2040.497722,225.383899,0.0078125,0.515625,0.2564975836989197,0.48823938977855746,0.019973039627075195,0.00043392181396484375,0.0006222724914550781,0.016014575958251953,0,0.7265625,0.03125
IrisNode,True,eps,1.111,"Index,target",ad,3,target,False,0.08860292515004635,0.244822463662579,2622.259848,348.417525,273.606983,1757.945905,219.169918,0.0,0.671875,0.45915517457753374,0.6169564867923981,0.006535768508911133,0.0004527568817138672,4.601478576660156e-05,0.004318714141845703,0,0.00390625,0.015625
IrisNode,True,knn,10,"Index,target",sym,3,target,False,0.47514077006743427,0.97993200471804,2661.16918,142.291258,127.884951,2140.99911,225.503556,0.0,0.78125,-0.05169745387625216,0.018010027470835334,0.03472900390625,0.02218461036682129,0.00012731552124023438,0.009240865707397461,0,0.3125,0.015625
IrisNode,True,knn,10,"Index,target",rw,3,target,False,0.49212352315628655,0.644447235392006,2758.280251,171.66646,136.901013,2205.937131,217.938821,-0.015625,0.640625,0.5014696079579617,0.7733799163281196,0.021485090255737305,0.0020797252655029297,0.0004305839538574219,0.01626276969909668,0,0.0390625,0.015625
IrisNode,True,knn,10,"Index,target",ad,3,target,False,0.4751407700674343,0.97993200471804,2901.278572,158.378148,127.455453,2339.741427,240.648704,0.0,0.765625,0.15433567052298186,0.23597540753590654,0.009397268295288086,0.0017809867858886719,4.315376281738281e-05,0.004311323165893555,0,0.0078125,0.015625
IrisNode,True,mknn,30,"Index,target",sym,3,target,False,0.5066439011368349,0.5806226037796237,2822.100982,161.435214,169.858301,2225.386376,230.415737,0.0078125,0.53125,0.4871128684420373,0.8022085453675192,0.00936126708984375,0.0020546913146972656,0.00010156631469726562,0.004261016845703125,0,0.00390625,0.0625
IrisNode,True,mknn,30,"Index,target",rw,3,target,False,0.4988145232282682,0.546663073022054,2744.49887,176.017147,145.279347,2176.630425,224.401523,0.015625,0.703125,0.5068956094058196,0.7591987071071522,0.02123284339904785,0.002285003662109375,0.0003566741943359375,0.015384674072265625,0,0.03515625,0.015625
IrisNode,True,mknn,30,"Index,target",ad,3,target,False,0.47851853903298214,0.9406150828466999,2619.025019,194.381533,186.554999,1987.204808,218.525258,0.00390625,0.671875,0.5078774084233088,0.7322981167185344,0.010015010833740234,0.0019974708557128906,4.839897155761719e-05,0.004656553268432617,0,0.0078125,0.0
